iter	RMSE
122	0.2122565304
123	0.2120192404
124	0.2119458488
125	0.2116660733
126	0.2115288254
127	0.2114616827
128	0.2111793456
129	0.2110962061
130	0.2109893293
131	0.2108029821
132	0.2105593758
133	0.2102245819
134	0.2101437591
135	0.2099904808
136	0.2097773267
137	0.2095815129
138	0.2093774192
139	0.2093106792
140	0.2090638373
141	0.2088395129
142	0.2086989721
143	0.2083443679
144	0.2082263319
145	0.2079864422
146	0.2078910976
147	0.2077254827
148	0.2076533543
149	0.207554274
150	0.2073594196
151	0.2070284474
152	0.2069162996
153	0.2067607955
154	0.2065430001
155	0.2063441018
156	0.2060893617
157	0.2058074041
158	0.2055833777
159	0.20545554
160	0.2052276913
161	0.2050968684
162	0.2048695471
163	0.2047164105
164	0.2046173692
165	0.2045152661
166	0.2043774512
167	0.2042826665
168	0.2040930335
169	0.2038856161
170	0.203805442
171	0.2037118986
172	0.2034493123
173	0.203324484
174	0.2032390707
175	0.2030628469
176	0.2029102213
177	0.2028746824
178	0.2026807385
179	0.202488846
180	0.2023298582
181	0.2020805404
182	0.2019523598
183	0.2017913546
184	0.2016816779
185	0.201500941
186	0.2014485367
187	0.2012778375
188	0.2011278115
189	0.201001007
190	0.2008833498
191	0.2007515574
192	0.2006669273
193	0.2006111231
194	0.2004809662
195	0.2003518168
196	0.2002143219
197	0.2001521425
198	0.2000494656
199	0.1998688863
200	0.1996540604
201	0.1995784725
202	0.1995549913
203	0.1994665537
204	0.1993726134
205	0.1992475578
206	0.1991410344
207	0.1990654082
208	0.1989749304
209	0.1987065391
210	0.1986043269
211	0.1985139169
212	0.1984002551
213	0.1983407078
214	0.1982886691
215	0.1982428079
216	0.1981513885
217	0.197928954
218	0.1978528335
219	0.1977328559
220	0.1975518651
221	0.1973839146
222	0.1973049698
223	0.1971825817
224	0.1971137038
225	0.1969984053
226	0.1968721753
227	0.1967893589
228	0.1966828933
229	0.1965947784
230	0.1965622538
231	0.1964967493
232	0.1964684665
233	0.196381436
234	0.1963100931
235	0.1962205331
236	0.1961208724
237	0.1960496995
238	0.1960197792
239	0.1959681814
240	0.1958442421
241	0.1957251548
242	0.1956827549
243	0.1956162306
244	0.1954621332
245	0.1954284564
246	0.1954001561
247	0.1952619273
248	0.1951246816
249	0.1950408347
250	0.194952833
251	0.1948065518
252	0.1947171165
253	0.1946942608
254	0.1946223775
255	0.1945604009
256	0.1944357647
257	0.1943235267
258	0.1942565229
259	0.1941607818
260	0.1941317314
261	0.1940783179
262	0.1940125561
263	0.1939476502
264	0.1938772428
265	0.1938562978
266	0.1937686825
267	0.1936296966
268	0.1935725985
269	0.1934843668
270	0.1934240831
271	0.1933369109
272	0.1931710403
273	0.1931181085
274	0.1930932411
275	0.1930459857
276	0.192964275
277	0.1928982747
278	0.1928343119
279	0.1927187762
280	0.1925699321
281	0.1924735165
282	0.1924168093
283	0.1923811332
284	0.192309303
285	0.192234558
286	0.1921121459
287	0.1920499211
288	0.1920322255
289	0.1919477213
290	0.1918856625
291	0.1918204123
292	0.19177628
293	0.1916952809
294	0.1916280676
295	0.1915819832
296	0.191512343
297	0.1914773507
298	0.1914431768
299	0.1914142297
300	0.1913556341
301	0.1912988
302	0.1911984683
303	0.191147541
304	0.1910578167
305	0.1910276742
306	0.1909306531
307	0.19085805
308	0.1908313646
309	0.1907640254
310	0.1907050115
311	0.1906437618
312	0.1906053795
313	0.1905291989
314	0.19045128
315	0.1903785707
316	0.1903407327
317	0.1902723746
318	0.1902326034
319	0.1901761816
320	0.190134256
321	0.1900891338
322	0.1900521689
323	0.1899366884
324	0.189906631
325	0.1898488297
326	0.1898043431
327	0.1897695665
328	0.1896846778
329	0.189628885
330	0.1895662959
331	0.1894968149
332	0.1894830389
333	0.1894143995
334	0.1893893183
335	0.1893738226
336	0.1892812637
337	0.1892693407
338	0.1891916426
339	0.1891167432
340	0.1890757202
341	0.1890060851
342	0.1889613984
343	0.1888876381
344	0.1887956009
345	0.1887135111
346	0.1886929294
347	0.1886246718
348	0.1885481845
349	0.1885055757
350	0.1884688808
351	0.1884109168
352	0.1883235579
353	0.1882310634
354	0.1882023977
355	0.1881637515
356	0.1881550131
357	0.188120164
358	0.1880793621
359	0.188045082
360	0.188019085
361	0.1879750206
362	0.1879455501
363	0.1878812144
364	0.1878085416
365	0.187746462
366	0.187704131
367	0.1876563784
368	0.1876212354
369	0.1875599572
370	0.187517387
371	0.1874782808
372	0.1874480441
373	0.1874108158
374	0.1873459707
375	0.1873015392
376	0.1872724921
377	0.1872282091
378	0.1871637344
379	0.1871007212
380	0.1870687858
381	0.1870170641
382	0.1869707002
383	0.1869387791
384	0.1868808666
385	0.1867682773
386	0.1867444609
387	0.1866891203
388	0.1866661894
389	0.1866163452
390	0.1865778708
391	0.1865515857
392	0.1865121575
393	0.1864571094
394	0.1864051374
395	0.1863803356
396	0.1863276695
397	0.1862832652
398	0.1862428224
399	0.1862268968
400	0.1862040894
401	0.1861612454
402	0.1861184586
403	0.1860577062
404	0.1860048488
405	0.1859516367
406	0.1859061177
407	0.1858565958
408	0.1858293298
409	0.1858068666
410	0.1857469836
411	0.1856961109
412	0.1856490416
413	0.1855948441
414	0.1855604075
415	0.1855091947
416	0.1854602747
417	0.1854193131
418	0.1853957864
419	0.1853731283
420	0.1853178671
421	0.1852706387
422	0.185214046
423	0.1851798533
424	0.1851316174
425	0.1851050844
426	0.1850631902
427	0.1850373116
428	0.1849964443
429	0.1849717352
430	0.1849350301
431	0.1848755617
432	0.1848296693
433	0.1848098093
434	0.1847655935
435	0.1847412971
436	0.184721391
437	0.1847004411
438	0.1846821793
439	0.1846538054
440	0.1846050206
441	0.184578932
442	0.1845477175
443	0.1845254207
444	0.1844932315
445	0.1844811823
446	0.184466633
447	0.1844304014
448	0.1844106706
449	0.1843805918
450	0.1843695651
451	0.1843034001
452	0.1842802827
453	0.1842445547
454	0.1842063226
455	0.1841672805
456	0.1841433757
457	0.18413192
458	0.1841082843
459	0.1840794549
460	0.1840461716
461	0.1840105631
462	0.1839925403
463	0.1839708439
464	0.1839563525
465	0.1839300385
466	0.1839090703
467	0.1838558221
468	0.1838027693
469	0.1837799348
470	0.1837466643
471	0.1837311604
472	0.1837130198
473	0.1836235493
474	0.1835972028
475	0.1835115111
476	0.1834894793
477	0.1834554211
478	0.1834008849
479	0.1833792957
480	0.1833320271
481	0.1833179517
482	0.1832846612
483	0.1832077884
484	0.1831576473
485	0.1830856688
486	0.1830632782
487	0.1830206723
488	0.1829889734
489	0.1829681097
490	0.1829257378
491	0.1829073364
492	0.1828759742
493	0.1828033991
494	0.1827878142
495	0.1827412702
496	0.1827240302
497	0.1826896058
498	0.1826501201
499	0.1825833952
500	0.1825548701
501	0.1825312305
502	0.1824970939
503	0.1824700817
504	0.1824489542
505	0.182433179
506	0.1823674022
507	0.1823410334
508	0.182315554
509	0.1822875259
510	0.1822627844
511	0.1822510376
512	0.1821851322
513	0.182123018
514	0.1821047719
515	0.1820840301
516	0.182026155
517	0.1820024758
518	0.1819858415
519	0.1819488805
520	0.181911303
521	0.1819054845
522	0.1818725004
523	0.1818607212
524	0.1817993442
525	0.181764254
526	0.1817371824
527	0.1817097774
528	0.1817051533
529	0.1816760412
530	0.1816410286
531	0.181626909
532	0.1816175094
533	0.1816026095
534	0.1815698826
535	0.1815575567
536	0.1815362024
537	0.1815045732
538	0.1814739054
539	0.1814558492
540	0.1814310173
541	0.1814013786
542	0.1813802114
543	0.1813701547
544	0.1813401064
545	0.1813347997
546	0.1813125322
547	0.1812877246
548	0.181259166
549	0.1812516641
550	0.1812254607
551	0.1812128042
552	0.181200378
553	0.1811744944
554	0.1811561138
555	0.1811462162
556	0.1811292745
557	0.1811084394
558	0.1810609348
559	0.1810484606
560	0.1810282811
561	0.1810047992
562	0.1809792389
563	0.180955325
564	0.1809357699
565	0.1809113517
566	0.1808916899
567	0.1808821726
568	0.1808365043
569	0.1808281503
570	0.180817276
571	0.180802952
572	0.1807986752
573	0.180772268
574	0.1807676203
575	0.1807500248
576	0.1807243792
577	0.1807079177
578	0.1806601086
579	0.1806437206
580	0.1805982547
581	0.1805877863
582	0.1805643347
583	0.1805509053
584	0.1805302966
585	0.1805139315
586	0.1804966531
587	0.1804909402
588	0.1804761323
589	0.1804625282
590	0.180450628
591	0.1804431749
592	0.1804314472
593	0.1804085811
594	0.1803906153
595	0.1803669937
596	0.1803231705
597	0.1803164791
598	0.180308783
599	0.1803017078
600	0.1802607533
601	0.1802215309
602	0.180214627
603	0.1802095905
604	0.180204876
605	0.1801861744
606	0.1801697682
607	0.180135782
608	0.180113144
609	0.180092164
610	0.1800590025
611	0.1800423262
612	0.1800352189
613	0.1800140353
614	0.1799932051
615	0.1799783063
616	0.1799581296
617	0.1799460561
618	0.1799277341
619	0.1798964138
620	0.1798666799
621	0.1798539355
622	0.1798356106
623	0.1798187937
624	0.179803007
625	0.1797649932
626	0.1797269229
627	0.1797012956
628	0.1796886722
629	0.1796741502
630	0.1796631078
631	0.1796486883
632	0.1796388009
633	0.1796343854
634	0.1796150588
635	0.1796102725
636	0.1795794163
637	0.1795415848
638	0.1795354146
639	0.1795264746
640	0.1794935417
641	0.1794668236
642	0.1794479325
643	0.1794376478
644	0.1794271362
645	0.1794083832
646	0.1794038187
647	0.1793997008
648	0.1793674909
649	0.1793547604
650	0.1793375254
651	0.1793066784
652	0.1792946806
653	0.1792816773
654	0.1792713765
655	0.1792512387
656	0.179233062
657	0.1792215052
658	0.1792092746
659	0.1792015691
660	0.1791789483
661	0.1791467199
662	0.179134975
663	0.1791236745
664	0.1791090943
665	0.1791005722
666	0.1790976045
667	0.1790809424
668	0.1790698009
669	0.1790657176
670	0.1790613967
671	0.1790448759
672	0.1790290888
673	0.1790163026
674	0.1790082774
675	0.1789820155
676	0.1789531891
677	0.1789284326
678	0.1789193723
679	0.178910402
680	0.1789017064
681	0.1788847004
682	0.1788645102
683	0.1788459958
684	0.1788387119
685	0.1788274612
686	0.1788051186
687	0.178801968
688	0.17878056
689	0.1787641772
690	0.1787485366
691	0.1787404824
692	0.1787261339
693	0.1787178712
694	0.178711557
695	0.178701666
696	0.1786886072
697	0.1786790625
698	0.17867432
699	0.1786648579
700	0.1786528366
701	0.1786437331
702	0.1786298018
703	0.1786142364
704	0.1785994323
705	0.178591707
706	0.1785678086
707	0.1785612576
708	0.1785499669
709	0.1785306842
710	0.1785231788
711	0.1785040409
712	0.1784923488
713	0.1784803703
714	0.1784631715
715	0.1784592856
716	0.1784538059
717	0.178441344
718	0.1784252794
719	0.1784092176
720	0.1784031692
721	0.1783951236
722	0.1783890949
723	0.1783817513
724	0.1783706209
725	0.17836819
726	0.1783625959
727	0.1783406173
728	0.1783198445
729	0.1783041079
730	0.1782899098
731	0.178282024
732	0.1782742668
733	0.178268411
734	0.1782576798
735	0.1782383891
736	0.1782280875
737	0.1782185983
738	0.1782026888
739	0.1781853713
740	0.1781645221
741	0.178159222
742	0.1781521916
743	0.178148514
744	0.1781348619
745	0.178122153
746	0.1781160528
747	0.1781084392
748	0.1780983573
749	0.1780887986
750	0.1780759427
751	0.1780671777
752	0.1780630958
753	0.1780542792
754	0.1780388004
755	0.1780317365
756	0.1780288637
757	0.1780232447
758	0.1780153754
759	0.1780067162
760	0.1780033689
761	0.17799654
762	0.1779922266
763	0.1779832843
764	0.1779778517
765	0.1779650817
766	0.1779419412
767	0.1779288524
768	0.1779203625
769	0.1779143573
770	0.1778999444
771	0.1778812796
772	0.1778765745
773	0.1778688293
774	0.1778647195
775	0.1778507096
776	0.1778412791
777	0.1778386617
778	0.1778324347
779	0.1778192669
780	0.1778141321
781	0.177809072
782	0.1777984513
783	0.1777941873
784	0.1777893707
785	0.1777858967
786	0.1777645746
787	0.1777479036
788	0.1777309502
789	0.1777192664
790	0.1777021125
791	0.177685475
792	0.1776810617
793	0.1776662495
794	0.177656788
795	0.1776488797
796	0.1776464171
797	0.1776421158
798	0.1776264359
799	0.1776110051
800	0.1775997314
801	0.1775881043
802	0.1775804324
803	0.1775685449
804	0.1775606382
805	0.1775571897
806	0.1775433086
807	0.1775241263
808	0.1775105708
809	0.1775032923
810	0.1774931346
811	0.1774859563
812	0.1774828277
813	0.1774645775
814	0.1774508415
815	0.1774371038
816	0.1774228615
817	0.1774182259
818	0.1774117761
819	0.1774038343
820	0.1773886236
821	0.1773839244
822	0.1773771861
823	0.1773739437
824	0.1773712504
825	0.1773620274
826	0.1773542885
827	0.1773529064
828	0.1773407851
829	0.1773383686
830	0.1773301455
831	0.1773201206
832	0.1773147404
833	0.1773117853
834	0.1772937548
835	0.1772808238
836	0.1772722752
837	0.1772672994
838	0.1772504152
839	0.1772452119
840	0.1772348452
841	0.1772304207
842	0.1772206023
843	0.1772089848
844	0.1772045291
845	0.1771962042
846	0.1771934686
847	0.1771851377
848	0.177172792
849	0.1771691549
850	0.1771598385
851	0.1771481375
852	0.1771445242
853	0.1771291876
854	0.1771179887
855	0.1771058962
856	0.177093972
857	0.177086086
858	0.1770763759
859	0.1770731561
860	0.1770588013
861	0.1770453757
862	0.177034862
863	0.1770255295
864	0.1770161058
865	0.1770080124
866	0.1770047068
867	0.1770006522
868	0.1769954906
869	0.1769872518
870	0.1769759615
871	0.1769666191
872	0.1769617338
873	0.1769521284
874	0.1769481714
875	0.1769421165
876	0.1769371516
877	0.1769346514
878	0.1769284986
879	0.1769171531
880	0.1769135904
881	0.1769089005
882	0.1768980104
883	0.1768930544
884	0.1768851333
885	0.1768802208
886	0.1768754283
887	0.1768675553
888	0.1768551498
889	0.1768536017
890	0.1768502157
891	0.1768435996
892	0.1768379935
893	0.1768318031
894	0.1768269107
895	0.1768150969
896	0.1768092442
897	0.1767965423
898	0.1767851714
899	0.1767763044
900	0.1767657607
901	0.1767625267
902	0.1767566572
903	0.1767538442
904	0.1767470945
905	0.1767414802
906	0.176734054
907	0.1767206816
908	0.1767169552
909	0.1767055503
910	0.176700231
911	0.1766971366
912	0.1766860048
913	0.1766742438
914	0.1766648734
915	0.1766591223
916	0.1766539838
917	0.1766525442
918	0.1766482144
919	0.1766426236
920	0.176641213
921	0.1766371452
922	0.1766280423
923	0.1766252524
924	0.176614799
925	0.1766128348
926	0.1766074729
927	0.1766038388
928	0.1765939338
929	0.1765855633
930	0.1765751264
931	0.1765703678
932	0.1765676201
933	0.1765641071
934	0.1765552706
935	0.1765446301
936	0.1765365176
937	0.1765310997
938	0.1765284126
939	0.1765249618
940	0.1765196419
941	0.17651833
942	0.1765119873
943	0.1765068697
944	0.176497606
945	0.1764880424
946	0.1764823184
947	0.1764790265
948	0.1764728923
949	0.1764646574
950	0.176462225
951	0.1764607945
952	0.1764552379
953	0.1764501845
954	0.1764468495
955	0.1764380032
956	0.1764341544
957	0.1764228526
958	0.1764169237
959	0.1764119147
960	0.1764067857
961	0.1764055094
962	0.1764024319
963	0.1763898568
964	0.1763815818
965	0.1763701194
966	0.1763640658
967	0.1763534368
968	0.1763498878
969	0.176346037
970	0.1763428906
971	0.1763338051
972	0.1763257332
973	0.1763171661
974	0.1763092972
975	0.1763062071
976	0.1763012035
977	0.1762973795
978	0.1762945299
979	0.176287136
980	0.1762846436
981	0.1762777011
982	0.1762708156
983	0.1762644104
984	0.1762580055
985	0.1762544851
986	0.1762527351
987	0.1762465269
988	0.1762384775
989	0.1762305542
990	0.1762280072
991	0.1762263478
992	0.1762229007
993	0.1762157342
994	0.1762132971
995	0.1762053423
996	0.1761987178
997	0.1761881784
998	0.1761776832
999	0.1761754049
